1.08	4.1
0.61	3.4
0.85	7.4
0.77	4.7
0.55	6.3
0.57	30
0.69	10.4
0.56	6.6
1.00	21
0.91	3.0
0.62	2.9
0.86	9.0
0.70	9.7
0.97	18.6
1.24	6.3
0.72	8.7
0.81	7.3
0.57	3.1
0.75	9.8
0.59	22
1.33	7.6
0.76	8.1
0.54	12.1
0.81	13
0.52	30
0.80	4.2
1.24	10.2
0.88	27
0.73	9.0
0.65	3.8
0.94	9.6
0.64	5.5
0.88	5.2
1.21	10.2
0.58	8.8
0.90	9.3
0.51	6.0
0.97	15.0
0.67	13.0
0.56	7.9
0.70	2.8
0.55	8.0
0.51	7.8
2.04	5.3
0.63	7.1
0.66	9.8
0.96	8.6
0.76	3.4
0.53	3.3
0.54	4.6
0.60	3.6
0.73	3.8
0.87	20
0.10	5.8
1.33	7.7
1.25	7.2
0.90	14.3
1.68	2.8
1.86	10.0
0.99	2.5
0.55	5.3
2.22	4.5
1.09	3.4
0.55	12.6
1.02	10.2
0.97	14.4
0.78	4.3
0.50	4.1
0.54	4.0
1.50	4.5
0.52	32
0.94	12.5
0.56	5.7
1.29	16.6
2.58	13.5
0.56	29
0.56	26
0.66	2.1
0.50	5.9
0.66	20
0.74	6.1
0.62	4.9
0.57	23
0.66	14
1.67	5.8
0.58	6
0.64	9.3
0.52	13
0.52	13
0.62	7.5
3.56	4.3
0.58	15
0.67	14.5
0.88	9.9
0.83	24
0.60	4.1
0.52	5
0.76	3.3
0.74	7.3
1.74	7.5
0.98	8.5
0.63	30
0.87	8.4
1.49	6.4
0.68	5.2
0.93	11.4
0.84	34
0.91	3.9
0.50	32
0.78	2.4
0.66	16
0.56	21
0.76	20.3
1.03	7.5
0.57	13.2
0.71	9.4
0.53	5.7
0.83	1.8
0.84	5.5
0.57	2.5
0.84	2.4
0.68	11.9
0.58	4.6
2.37	13.4
2.08	9.9
1.48	2.4
1.39	4.4
0.65	5.8
0.60	9
0.78	2.8
1.63	4.0
0.62	3.2
0.74	13.0
0.66	6.5
0.69	11.1
0.83	8.8
0.54	9.3
2.00	4.36
0.51	4.2
1.13	7.3
0.52	11.6
0.63	3.8
1.07	20.8
1.23	29
0.67	20
0.53	15
0.57	3.8
0.57	2.4
2.16	6.9
1.58	3.0
0.52	4.9
0.94	8.8
0.56	12.4
0.85	6.0
0.59	1.6
1.61	5.2
1.02	3.4
0.58	4.3
1.61	5.6
0.67	1.8
2.19	14.2
2.51	8.6
0.56	6.2
0.95	6.6
0.57	5.8
0.80	11.4
0.55	6.5
0.80	2.6
0.88	7.4
0.62	7.2
1.13	4.7
0.53	16
1.27	4.5
0.80	24
0.57	6.4
0.65	4.5
0.89	14
0.67	3.2
1.01	3.0
0.56	3.9
0.86	3.4
0.79	12.1
0.56	4.5
0.84	2.5
0.51	3.1
1.02	3.2
0.61	5.9
0.51	23
0.55	6.8
0.57	3.2
0.57	2.0
0.95	0.65
1.06	7.9
0.85	1.9
0.70	14
0.59	2.5
1.03	6.1
